Domain,Area,Element,Item,Year,Unit,Value,Flag,Flag Description
"Livestock Patterns","China, Taiwan Province of","Share in total livestock","Buffaloes","1961","% of total LSU","19.41","Fc","Calculated data"
"Livestock Patterns","China, Taiwan Province of","Share in total livestock","Buffaloes","1962","% of total LSU","19.24","Fc","Calculated data"
"Livestock Patterns","China, Taiwan Province of","Share in total livestock","Buffaloes","1963","% of total LSU","19.55","Fc","Calculated data"
"Livestock Patterns","China, Taiwan Province of","Share in total livestock","Buffaloes","1964","% of total LSU","19.77","Fc","Calculated data"
"Livestock Patterns","China, Taiwan Province of","Share in total livestock","Buffaloes","1965","% of total LSU","18.93","Fc","Calculated data"
"Livestock Patterns","China, Taiwan Province of","Share in total livestock","Buffaloes","1966","% of total LSU","17.27","Fc","Calculated data"
"Livestock Patterns","China, Taiwan Province of","Share in total livestock","Buffaloes","1967","% of total LSU","15.87","Fc","Calculated data"
"Livestock Patterns","China, Taiwan Province of","Share in total livestock","Buffaloes","1968","% of total LSU","14.98","Fc","Calculated data"
"Livestock Patterns","China, Taiwan Province of","Share in total livestock","Buffaloes","1969","% of total LSU","14.03","Fc","Calculated data"
"Livestock Patterns","China, Taiwan Province of","Share in total livestock","Buffaloes","1970","% of total LSU","13.03","Fc","Calculated data"
"Livestock Patterns","China, Taiwan Province of","Share in total livestock","Buffaloes","1971","% of total LSU","12.19","Fc","Calculated data"
"Livestock Patterns","China, Taiwan Province of","Share in total livestock","Buffaloes","1972","% of total LSU","10.15","Fc","Calculated data"
"Livestock Patterns","China, Taiwan Province of","Share in total livestock","Buffaloes","1973","% of total LSU","7.78","Fc","Calculated data"
"Livestock Patterns","China, Taiwan Province of","Share in total livestock","Buffaloes","1974","% of total LSU","7.23","Fc","Calculated data"
"Livestock Patterns","China, Taiwan Province of","Share in total livestock","Buffaloes","1975","% of total LSU","7.86","Fc","Calculated data"
"Livestock Patterns","China, Taiwan Province of","Share in total livestock","Buffaloes","1976","% of total LSU","6.69","Fc","Calculated data"
"Livestock Patterns","China, Taiwan Province of","Share in total livestock","Buffaloes","1977","% of total LSU","5.76","Fc","Calculated data"
